mu_SmoltW[,1]	tau_SmoltW[,1]	mu_SmoltW[,2]	tau_SmoltW[,2]	mu_SmoltW[,3]	tau_SmoltW[,3]	mu_SmoltW[,4]	tau_SmoltW[,4]	mu_SmoltW[,5]	tau_SmoltW[,5]	mu_SmoltW[,6]	tau_SmoltW[,6]	mu_SmoltW[,7]	tau_SmoltW[,7]	mu_SmoltW[,8]	tau_SmoltW[,8]	mu_SmoltW[,9]	tau_SmoltW[,9]	mu_SmoltW[,10]	tau_SmoltW[,10]	mu_SmoltW[,11]	tau_SmoltW[,11]	mu_SmoltW[,12]	tau_SmoltW[,12]	mu_SmoltW[,13]	tau_SmoltW[,13]	mu_SmoltW[,14]	tau_SmoltW[,14]	mu_SmoltW[,15]	tau_SmoltW[,15]	mu_SmoltW[,16]	tau_SmoltW[,16]	mu_SmoltW[,17]	tau_SmoltW[,17]
7.31588018	58.461428469	3.629657442	35.831121569	6.576454945	2.811020398	3.755820555	2.434164614	NA	1	1.843437523	1.734951459	4.794297696	2.654466727	0.776373277	41.905008461	1.691988856	1.616030573	5.14055212	70.100427518	1.20949304	1.041890399	1.815852715	1.628820518	1.968499305	0.550783901	3.815905397	5.556479537	1.136569257	0.506290362	2.483488979	1.381435091	0.3363609	3.533826403
7.352123742	64.511371604	3.301448867	5.430039033	6.457363671	2.726995486	3.823925948	2.451625345	NA	1	1.76400879	1.708537839	4.661786786	2.80346095	-0.31929177	0.675601485	1.890609588	1.806971762	5.140479962	75.326968361	1.190955951	1.041408765	1.987820237	1.789340835	2.222172155	1.318608733	3.442855115	4.23382048	1.345749366	0.502064574	2.488197064	1.400617863	0.403489717	7.371769278
7.530182204	82.429515393	3.395018331	229.808966233	6.508242918	2.78327493	4.000243568	2.492542722	NA	1	1.901062951	1.728630801	4.903406367	2.60433272	1.38383133	45.368166628	2.127415301	2.006665152	5.533083513	15.006033679	1.701291215	1.198768585	1.790481153	22.058453009	2.946007586	2.242733386	3.742983124	6.165668487	1.426593956	0.540415589	2.995384713	1.597953518	0.41215501	24.887995235
7.621596846	67.011823087	3.489945167	6.429431356	6.516922839	2.80479734	4.159438398	2.543883943	NA	1	2.042691973	1.933498718	5.020753928	2.753805129	1.595834808	21.911686904	2.497213937	2.414940527	5.54626767	41.532697967	2.334732774	1.426439887	2.583083928	2.428571473	2.314706604	1.368838656	3.235292354	5.164868787	1.591365713	0.59403565	2.837146774	1.533021468	0.695643517	14.409289094
7.613579268	30.377353387	3.808831247	41.029878401	6.236110261	2.784193285	4.053772536	2.334449955	NA	1	2.19010261	2.054817884	5.146057398	2.753389147	1.168610876	1.049939934	2.654385677	2.69339041	5.099222623	21.217930048	2.457141405	1.612460009	2.722298214	2.547588083	0.800134223	0.363837312	3.163109563	3.869925907	1.323778574	0.559875222	2.806204817	1.465924794	1.119218026	0.978914854
7.430019235	54.741968362	3.42650119	32.332687154	6.262915289	2.754657751	3.781141812	2.216868059	NA	1	2.009863008	14.08281129	5.145410912	2.905889716	1.249385844	1.090884544	2.616059173	2.628853586	4.955115537	50.701419262	2.386360824	1.683200575	2.628595654	2.353610157	-1.023062063	0.133996907	2.832738025	2.696324295	0.306383784	0.409886401	2.829314577	1.542683648	0.768429313	0.850225357
7.356969294	56.899469503	3.601558029	23.516204659	6.136507088	2.694219357	3.587012828	2.29845207	NA	1	1.547176264	4.195619521	4.970084096	2.906642129	0.598861226	0.894834355	2.449590305	2.418900052	4.646273501	37.726540393	1.724937454	1.278372255	2.352117839	2.084891562	-0.746447499	0.341267169	3.4384265	2.532820549	0.769342011	0.458241973	2.470503419	1.371828227	0.304267304	3.602330514
7.416528799	73.154950369	3.428097312	32.601602375	6.45341159	2.631884664	4.02960691	2.296879757	NA	1	2.057303289	2.00274159	5.063929585	2.698597202	0.937664673	0.967773622	2.07393893	1.913185031	4.266065021	9.744040522	1.812097084	1.343646887	2.676191389	2.44569926	-0.735638134	0.489862538	3.288096879	3.629352373	0.786760012	0.480789978	2.493610329	1.430127046	-0.03572729	4.804417218
7.568810477	75.615367991	3.401240714	65.789661822	6.470983697	2.82236105	4.29056423	2.417371895	NA	1	1.793934602	1.662031315	4.873080581	2.868187037	0.984579089	0.956527096	2.136135507	2.012400977	5.449559356	30.103475599	2.024489589	4.49114294	2.886483653	2.696624383	-2.566163663	0.213346875	3.437583744	4.07995819	0.291214371	0.426753951	2.101004873	1.303529201	1.469021287	4.754135689
7.447993092	64.731394239	3.602932056	7.089978539	6.419323693	2.875617564	4.111888104	2.18521392	NA	1	1.609903804	1.539704155	4.708543228	2.765723287	0.398920405	0.753011092	1.839881156	1.67290438	5.654696392	31.536305481	2.091037177	3.046257261	2.431611353	1.929302649	0.805430376	9.82561621	3.534244133	2.760713459	0.478664399	0.418466785	2.085424235	1.325485642	1.671143285	1.472978261
